fecha,hora,numero,signo,extraido_en,fecha_raw,hora_num,ultimo_digito,penultimo_digito,suma_digitos,paridad,signo_cod,rango_mil,año,mes,dia_mes,dia_semana,dias_desde_inicio
2025-09-05,4 pm,1265,ACU,2025-12-20 06:44:48,05/09/2025,16,5,6,14,1,7,1000-1999,2025,9,5,4,246
2025-10-05,1 pm,4845,ESC,2025-12-20 06:55:34,05/10/2025,13,5,4,21,1,2,4000-4999,2025,10,5,6,276
2025-10-05,10 pm,5226,TAU,2025-12-20 06:55:34,05/10/2025,22,6,2,15,0,3,5000-5999,2025,10,5,6,276
2025-10-05,4 pm,7818,LIB,2025-12-20 06:55:34,05/10/2025,16,8,1,24,0,10,7000-7999,2025,10,5,6,276
2025-01-06,1 pm,6613,VIR,2025-12-20 05:16:46,06/01/2025,13,3,1,16,1,11,6000-6999,2025,1,6,0,4
2025-01-06,10 pm,4185,GEM,2025-12-20 05:16:46,06/01/2025,22,5,8,18,1,0,4000-4999,2025,1,6,0,4
2025-01-06,4 pm,4046,CAN,2025-12-20 05:16:46,06/01/2025,16,6,4,14,0,5,4000-4999,2025,1,6,0,4
2025-02-06,1 pm,9396,PIC,2025-12-20 05:27:54,06/02/2025,13,6,9,27,0,8,9000-9999,2025,2,6,3,35
2025-02-06,10 pm,1320,VIR,2025-12-20 05:27:54,06/02/2025,22,0,2,6,0,11,1000-1999,2025,2,6,3,35
2025-02-06,4 pm,320,ACU,2025-12-20 05:27:54,06/02/2025,16,0,2,5,0,7,0-999,2025,2,6,3,35
2025-03-06,1 pm,4519,ARI,2025-12-20 05:37:57,06/03/2025,13,9,1,19,1,9,4000-4999,2025,3,6,3,63
2025-03-06,10 pm,202,ARI,2025-12-20 05:37:57,06/03/2025,22,2,0,4,0,9,0-999,2025,3,6,3,63
2025-03-06,4 pm,8687,CAN,2025-12-20 05:37:57,06/03/2025,16,7,8,29,1,5,8000-8999,2025,3,6,3,63
2025-04-06,1 pm,1047,ACU,2025-12-20 05:50:15,06/04/2025,13,7,4,12,1,7,1000-1999,2025,4,6,6,94
2025-04-06,10 pm,5859,LIB,2025-12-20 05:50:15,06/04/2025,22,9,5,27,1,10,5000-5999,2025,4,6,6,94
2025-04-06,4 pm,5881,GEM,2025-12-20 05:50:15,06/04/2025,16,1,8,22,1,0,5000-5999,2025,4,6,6,94
2025-05-06,1 pm,5258,TAU,2025-12-20 06:01:00,06/05/2025,13,8,5,20,0,3,5000-5999,2025,5,6,1,124
2025-05-06,10 pm,4312,LEO,2025-12-20 06:01:00,06/05/2025,22,2,1,10,0,1,4000-4999,2025,5,6,1,124
2025-05-06,4 pm,9448,TAU,2025-12-20 06:01:00,06/05/2025,16,8,4,25,0,3,9000-9999,2025,5,6,1,124
2025-06-06,1 pm,4422,GEM,2025-12-20 06:12:08,06/06/2025,13,2,2,12,0,0,4000-4999,2025,6,6,4,155
2025-06-06,10 pm,4983,ESC,2025-12-20 06:12:08,06/06/2025,22,3,8,24,1,2,4000-4999,2025,6,6,4,155
